Date	Count
01, 01 2012	2
01, 02 2007	5
01, 02 2012	2
01, 02 2017	2
01, 03 2015	3
01, 03 2017	4
01, 04 2009	1
01, 04 2011	1
01, 04 2016	4
01, 05 2009	1
01, 05 2011	1
01, 05 2016	4
01, 06 2015	1
01, 06 2016	4
01, 08 2015	2
01, 08 2016	3
01, 09 2016	6
01, 10 2012	2
01, 10 2015	4
01, 11 2012	3
01, 11 2016	3
01, 12 2016	2
01, 13 2016	4
01, 14 2015	3
01, 15 2012	1
01, 15 2015	3
01, 15 2016	1
01, 15 2017	4
01, 16 2012	2
01, 17 2012	4
01, 19 2016	2
01, 21 2016	1
01, 21 2017	2
01, 22 2012	4
01, 22 2015	2
01, 23 2012	2
01, 23 2015	3
01, 23 2016	6
01, 24 2012	5
01, 24 2015	3
01, 24 2017	5
01, 25 2012	1
01, 25 2016	4
01, 26 2016	3
01, 27 2012	2
01, 27 2016	1
01, 28 2012	3
01, 28 2016	2
01, 28 2017	4
01, 29 2012	3
01, 29 2015	3
01, 29 2016	1
01, 30 2015	4
01, 31 2015	1
02, 01 2012	2
02, 02 2012	3
02, 03 2012	4
02, 04 2012	4
02, 04 2017	5
02, 05 2012	2
02, 05 2014	1
02, 05 2015	3
02, 05 2016	3
02, 06 2015	3
02, 06 2016	4
02, 07 2015	4
02, 08 2016	5
02, 09 2016	4
02, 09 2018	5
02, 10 2012	5
02, 10 2016	3
02, 11 2016	2
02, 11 2018	3
02, 12 2012	6
02, 12 2017	2
02, 13 2012	3
02, 14 2015	2
02, 15 2010	1
02, 16 2015	4
02, 16 2016	3
02, 17 2010	1
02, 17 2016	3
02, 18 2017	2
02, 19 2018	5
02, 20 2010	1
02, 20 2016	3
02, 21 2010	1
02, 21 2015	3
02, 22 2011	1
02, 22 2016	2
02, 23 2016	3
02, 24 2018	3
02, 25 2010	1
02, 25 2016	3
02, 26 2010	1
02, 26 2017	2
02, 28 2015	4
02, 29 2016	4
03, 01 2010	1
03, 01 2016	3
03, 02 2010	1
03, 03 2010	1
03, 04 2010	1
03, 04 2015	3
